2022-08-15 09:47:05.578 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.logdemo.LogDemoApplicationTests], using SpringBootContextLoader
2022-08-15 09:47:05.594 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.logdemo.LogDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-15 09:47:05.594 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.logdemo.LogDemoApplicationTests]: LogDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-08-15 09:47:05.750 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.logdemo.LogDemoApplication for test class com.example.logdemo.LogDemoApplicationTests
2022-08-15 09:47:05.875 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-15 09:47:05.891 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@569bf9eb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@61526469, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@274872f8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@76ba13c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@eb6449b, org.springframework.test.context.event.EventPublishingTestExecutionListener@7c351808, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@180e6ac4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@42b64ab8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7e985ce9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2a39fe6a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@410ae9a3]
2022-08-15 09:47:06.281 [main] INFO  com.example.logdemo.LogDemoApplicationTests - Starting LogDemoApplicationTests on fengtx45968 with PID 12408 (started by fengtx45968 in C:\Users\fengtx45968\IdeaProjects\log-demo)
2022-08-15 09:47:06.281 [main] INFO  com.example.logdemo.LogDemoApplicationTests - No active profile set, falling back to default profiles: default
2022-08-15 09:47:07.453 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-08-15 09:47:07.703 [main] INFO  com.example.logdemo.LogDemoApplicationTests - Started LogDemoApplicationTests in 1.768 seconds (JVM running for 3.615)
2022-08-15 09:47:07.968 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
